,0
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,1
179,0
180,1
181,0
182,1
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,1
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,0
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,1
309,1
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,1
321,1
322,0
323,1
324,0
325,0
326,0
327,0
328,0
329,1
330,0
331,0
332,0
333,1
334,0
335,1
336,1
337,1
338,0
339,0
340,0
341,0
342,1
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,1
406,0
407,0
408,1
409,1
410,1
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,0
425,0
426,1
427,0
428,1
429,0
430,1
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,1
441,1
442,1
443,0
444,1
445,0
446,1
447,0
448,0
449,1
450,1
451,0
452,0
453,0
454,0
455,1
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,0
476,1
477,0
478,0
479,1
480,0
481,1
482,0
483,1
484,1
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,1
494,0
495,1
496,0
497,0
498,0
499,0
500,1
501,1
502,1
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,1
515,0
516,1
517,0
518,0
519,1
520,1
521,0
522,0
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,0
531,1
532,1
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,1
544,1
545,1
546,1
547,0
548,1
549,1
550,1
551,0
552,1
553,1
554,1
555,1
556,1
557,0
558,0
559,0
560,1
561,0
562,0
563,0
564,1
565,1
566,1
567,0
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,1
592,1
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,0
605,1
606,1
607,1
608,1
609,0
610,1
611,0
612,0
613,1
614,0
615,0
616,0
617,1
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,1
630,0
631,1
632,0
633,1
634,0
635,1
636,0
637,0
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,1
647,1
648,0
649,0
650,0
651,0
652,1
653,0
654,1
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,1
664,0
665,1
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,0
674,1
675,1
676,1
677,1
678,1
679,1
680,0
681,1
682,1
683,0
684,0
685,1
686,1
687,0
688,0
689,0
690,0
691,0
692,1
693,0
694,0
695,0
696,0
697,1
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,0
707,1
708,1
709,0
710,0
711,0
712,1
713,0
714,0
715,1
716,0
717,0
718,1
719,1
720,0
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,1
729,0
730,1
731,1
732,1
733,0
734,1
735,0
736,0
737,1
738,0
739,1
740,0
741,0
742,0
743,1
744,0
745,1
746,0
747,1
748,1
749,1
750,0
751,0
752,0
753,1
754,1
755,0
756,0
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,0
766,1
767,0
768,0
769,0
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,1
779,0
780,0
781,0
782,1
783,0
784,1
785,0
786,0
787,0
788,1
789,0
790,0
791,1
792,0
793,1
794,0
795,1
796,0
797,0
798,1
799,1
800,0
801,1
802,0
803,0
804,1
805,0
806,1
807,1
808,0
809,1
810,1
811,0
812,0
813,1
814,0
815,0
816,1
817,0
818,1
819,0
820,1
821,0
822,0
823,1
824,0
825,0
826,1
827,0
828,0
829,1
830,1
831,0
832,0
833,0
834,1
835,1
836,0
837,0
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,1
846,0
847,1
848,0
849,0
850,0
851,0
852,1
853,0
854,0
855,0
856,1
857,0
858,1
859,0
860,0
861,1
862,0
863,0
864,0
865,1
866,0
867,0
868,1
869,1
870,0
871,0
872,0
873,0
874,1
875,0
876,1
877,0
878,0
879,0
880,1
881,0
882,0
883,1
884,0
885,1
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,1
895,0
896,1
897,0
898,0
899,0
900,0
901,0
902,0
903,1
904,1
905,0
906,1
907,1
908,0
909,0
910,0
911,1
912,1
913,0
914,0
915,0
916,0
917,1
918,0
919,0
920,0
921,1
922,0
923,0
924,0
925,0
926,1
927,0
928,1
929,0
930,0
931,0
932,0
933,0
934,1
935,1
936,0
937,1
938,0
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,0
947,1
948,1
949,0
950,1
951,0
952,1
953,0
954,1
955,0
956,0
957,1
958,0
959,1
960,0
961,1
962,1
963,0
964,1
965,0
966,0
967,0
968,1
969,1
970,1
971,1
972,0
973,1
974,1
975,0
976,1
977,0
978,0
979,0
980,0
981,1
982,1
983,1
984,1
985,0
986,0
987,0
988,0
989,1
990,1
991,1
992,1
993,0
994,0
995,1
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,0
1003,1
1004,0
1005,0
1006,1
1007,1
1008,0
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,0
1016,1
1017,0
1018,1
1019,0
1020,0
1021,0
1022,0
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,1
1030,0
1031,1
1032,0
1033,1
1034,0
1035,1
1036,1
1037,0
1038,0
1039,1
1040,1
1041,0
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,1
1056,0
1057,0
1058,0
1059,0
1060,1
1061,1
1062,1
1063,1
1064,0
1065,0
1066,1
1067,0
1068,0
1069,1
1070,0
1071,1
1072,0
1073,0
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,0
1081,0
1082,1
1083,0
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,1
1100,0
1101,1
1102,0
1103,1
1104,1
1105,0
1106,0
1107,1
1108,1
1109,0
1110,0
1111,0
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,0
1122,0
1123,0
1124,0
1125,1
1126,0
1127,1
1128,1
1129,0
1130,0
1131,0
1132,0
1133,1
1134,1
1135,0
1136,1
1137,1
1138,1
1139,0
1140,1
1141,1
1142,0
1143,0
1144,0
1145,0
1146,1
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,1
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,1
1163,0
1164,1
1165,0
1166,0
1167,0
1168,1
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,1
1184,0
1185,0
1186,1
1187,0
1188,1
1189,0
1190,1
1191,0
1192,1
1193,0
1194,0
1195,1
1196,0
1197,0
1198,0
1199,0
1200,1
1201,0
1202,1
1203,0
1204,1
1205,0
1206,1
1207,1
1208,1
1209,0
1210,0
1211,0
1212,1
1213,0
1214,0
1215,0
1216,1
1217,1
1218,1
1219,1
1220,0
1221,0
1222,0
1223,0
1224,0
1225,1
1226,1
1227,0
1228,0
1229,0
1230,0
